model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Perch 2.0,perch_v2,1,0,15,0,45,0.0,,0.3767379548599719
Perch 2.0,perch_v2,2,3,11,7,39,0.21428571428571427,0.3,0.3544410117918518
Perch 2.0,perch_v2,3,0,7,0,53,0.0,,0.3288035105466635
Perch 2.0,perch_v2,4,2,3,6,49,0.4,0.25,0.2815870462906632
Perch 2.0,perch_v2,5,4,4,12,39,0.5,0.25,0.3015094590383135
Perch 2.0,perch_v2,6,0,4,0,55,0.0,,0.27729045433165733
Perch 2.0,perch_v2,7,1,3,10,45,0.25,0.09090909090909091,0.24834049224641794
Perch 2.0,perch_v2,8,35,4,19,1,0.8974358974358975,0.6481481481481481,0.5897048626656887
Perch 2.0,perch_v2,9,30,10,14,5,0.75,0.6818181818181818,0.6605760948780101
Perch 2.0,perch_v2,10,43,3,12,2,0.9347826086956522,0.7818181818181819,0.7166556066705173
Perch 2.0,perch_v2,11,48,0,10,1,1.0,0.8275862068965517,0.7288356222661068
Perch 2.0,perch_v2,12,50,0,9,0,1.0,0.847457627118644,0.8173490713244058
Perch 2.0,perch_v2,13,54,0,5,0,1.0,0.9152542372881356,0.8685425353557329
Perch 2.0,perch_v2,14,48,0,11,0,1.0,0.8135593220338984,0.7695287052339026
Perch 2.0,perch_v2,15,52,0,7,0,1.0,0.8813559322033898,0.8488558372256867
Perch 2.0,perch_v2,16,51,1,7,0,0.9807692307692307,0.8793103448275862,0.8257095174891617
Perch 2.0,perch_v2,17,45,7,6,2,0.8653846153846154,0.8823529411764706,0.8150633792814171
Perch 2.0,perch_v2,18,40,9,9,2,0.8163265306122449,0.8163265306122449,0.7454940270880513
Perch 2.0,perch_v2,19,26,9,11,14,0.7428571428571429,0.7027027027027027,0.6235471870940046
Perch 2.0,perch_v2,20,12,16,7,25,0.42857142857142855,0.631578947368421,0.5443741028093394
Perch 2.0,perch_v2,21,24,2,27,7,0.9230769230769231,0.47058823529411764,0.5097581951975776
Perch 2.0,perch_v2,22,32,5,17,5,0.8648648648648649,0.6530612244897959,0.6285807631273738
Perch 2.0,perch_v2,23,26,8,17,8,0.7647058823529411,0.6046511627906976,0.5728185329807463
Perch 2.0,perch_v2,24,22,4,17,16,0.8461538461538461,0.5641025641025641,0.5052418112982708
Perch 2.0,perch_v2,25,21,8,20,10,0.7241379310344828,0.5121951219512195,0.5101598808725091
Perch 2.0,perch_v2,26,18,5,22,15,0.782608695652174,0.45,0.46901168196338766
Perch 2.0,perch_v2,27,26,4,24,6,0.8666666666666667,0.52,0.5294038851999718
