model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Wav2Vec2 full,wav2vec2_full,1,0,20,0,40,0.0,,0.4405667500166667
Wav2Vec2 full,wav2vec2_full,2,5,16,5,34,0.23809523809523808,0.5,0.4720826584333333
Wav2Vec2 full,wav2vec2_full,3,0,36,0,24,0.0,,0.6537753233333332
Wav2Vec2 full,wav2vec2_full,4,0,22,8,30,0.0,0.0,0.4642752424500001
Wav2Vec2 full,wav2vec2_full,5,11,16,5,28,0.4074074074074074,0.6875,0.5752500775333335
Wav2Vec2 full,wav2vec2_full,6,0,29,0,31,0.0,,0.5740243829833332
Wav2Vec2 full,wav2vec2_full,7,7,33,5,15,0.175,0.5833333333333334,0.7427830370666669
Wav2Vec2 full,wav2vec2_full,8,28,4,27,1,0.875,0.509090909090909,0.6020064931166667
Wav2Vec2 full,wav2vec2_full,9,34,0,11,15,1.0,0.7555555555555555,0.6384487311833333
Wav2Vec2 full,wav2vec2_full,10,24,2,31,3,0.9230769230769231,0.43636363636363634,0.5202041829
Wav2Vec2 full,wav2vec2_full,11,44,0,15,1,1.0,0.7457627118644068,0.7668064859499999
Wav2Vec2 full,wav2vec2_full,12,37,0,23,0,1.0,0.6166666666666667,0.6959222995
Wav2Vec2 full,wav2vec2_full,13,50,0,10,0,1.0,0.8333333333333334,0.8630634258
Wav2Vec2 full,wav2vec2_full,14,35,0,25,0,1.0,0.5833333333333334,0.6434782917333334
Wav2Vec2 full,wav2vec2_full,15,22,0,38,0,1.0,0.36666666666666664,0.44574432128333336
Wav2Vec2 full,wav2vec2_full,16,22,1,37,0,0.9565217391304348,0.3728813559322034,0.4566138229666667
Wav2Vec2 full,wav2vec2_full,17,20,3,31,6,0.8695652173913043,0.39215686274509803,0.49412731191666664
Wav2Vec2 full,wav2vec2_full,18,22,5,27,6,0.8148148148148148,0.4489795918367347,0.5517621899
Wav2Vec2 full,wav2vec2_full,19,3,7,34,16,0.3,0.08108108108108109,0.3161839304833334
Wav2Vec2 full,wav2vec2_full,20,14,29,5,12,0.32558139534883723,0.7368421052631579,0.7446845367333333
Wav2Vec2 full,wav2vec2_full,21,13,8,38,1,0.6190476190476191,0.2549019607843137,0.4533977733166666
Wav2Vec2 full,wav2vec2_full,22,26,3,24,7,0.896551724137931,0.52,0.5997349703333335
Wav2Vec2 full,wav2vec2_full,23,23,10,21,6,0.696969696969697,0.5227272727272727,0.6361466254333334
Wav2Vec2 full,wav2vec2_full,24,9,3,31,17,0.75,0.225,0.35376402485
Wav2Vec2 full,wav2vec2_full,25,8,1,33,18,0.8888888888888888,0.1951219512195122,0.29796097513333325
Wav2Vec2 full,wav2vec2_full,26,16,3,24,17,0.8421052631578947,0.4,0.4285948028
Wav2Vec2 full,wav2vec2_full,27,23,3,27,7,0.8846153846153846,0.46,0.49137808295
Wav2Vec2 full,wav2vec2_full,28,11,10,24,15,0.5238095238095238,0.3142857142857143,0.41701827760000004
Wav2Vec2 full,wav2vec2_full,29,4,5,11,40,0.4444444444444444,0.26666666666666666,0.2620810472
Wav2Vec2 full,wav2vec2_full,30,14,7,7,32,0.6666666666666666,0.6666666666666666,0.45344276256666666
