model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Perch linear,perch_v2_linear,1,0,0,0,60,,,0.3405335729999999
Perch linear,perch_v2_linear,2,0,0,10,50,,0.0,0.3263536362833333
Perch linear,perch_v2_linear,3,0,0,0,60,,,0.362354462
Perch linear,perch_v2_linear,4,0,0,8,52,,0.0,0.356926059
Perch linear,perch_v2_linear,5,0,0,16,43,,0.0,0.3704179850338983
Perch linear,perch_v2_linear,6,0,0,0,59,,,0.35105734188135596
Perch linear,perch_v2_linear,7,0,0,11,48,,0.0,0.3207111983728813
Perch linear,perch_v2_linear,8,3,0,51,5,1.0,0.05555555555555555,0.6345360111864409
Perch linear,perch_v2_linear,9,11,2,33,13,0.8461538461538461,0.25,0.6765249433898305
Perch linear,perch_v2_linear,10,21,0,34,5,1.0,0.38181818181818183,0.7584147815999999
Perch linear,perch_v2_linear,11,19,0,39,1,1.0,0.3275862068965517,0.7752645733898306
Perch linear,perch_v2_linear,12,25,0,34,0,1.0,0.423728813559322,0.8311907249152543
Perch linear,perch_v2_linear,13,38,0,21,0,1.0,0.6440677966101694,0.8845351172881355
Perch linear,perch_v2_linear,14,28,0,31,0,1.0,0.4745762711864407,0.7877195255932206
Perch linear,perch_v2_linear,15,29,0,30,0,1.0,0.4915254237288136,0.8597445254237288
Perch linear,perch_v2_linear,16,31,1,27,0,0.96875,0.5344827586206896,0.8441385461016949
Perch linear,perch_v2_linear,17,31,2,20,7,0.9393939393939394,0.6078431372549019,0.8344976284999999
Perch linear,perch_v2_linear,18,18,3,31,8,0.8571428571428571,0.3673469387755102,0.7614662491666667
Perch linear,perch_v2_linear,19,10,2,27,21,0.8333333333333334,0.2702702702702703,0.6564046419999999
Perch linear,perch_v2_linear,20,3,4,16,37,0.42857142857142855,0.15789473684210525,0.5935412969999999
Perch linear,perch_v2_linear,21,10,0,41,9,1.0,0.19607843137254902,0.5592694555666667
Perch linear,perch_v2_linear,22,11,0,38,10,1.0,0.22448979591836735,0.6410739930508474
Perch linear,perch_v2_linear,23,8,0,35,16,1.0,0.18604651162790697,0.6174945642372881
Perch linear,perch_v2_linear,24,5,0,34,20,1.0,0.1282051282051282,0.5316745935593221
Perch linear,perch_v2_linear,25,9,1,32,17,0.9,0.21951219512195122,0.5385068483728814
Perch linear,perch_v2_linear,26,1,0,39,20,1.0,0.025,0.5048984703333333
Perch linear,perch_v2_linear,27,5,0,45,10,1.0,0.1,0.55692490425
Perch linear,perch_v2_linear,28,5,0,30,25,1.0,0.14285714285714285,0.5501058513333332
Perch linear,perch_v2_linear,29,1,0,14,45,1.0,0.06666666666666667,0.3279486864999999
Perch linear,perch_v2_linear,30,3,0,18,38,1.0,0.14285714285714285,0.49750206898305077
Voxaboxen linear,voxaboxen_beats_linear,1,0,0,0,60,,,0.4091337671666668
Voxaboxen linear,voxaboxen_beats_linear,2,1,1,9,49,0.5,0.1,0.3637811311666666
Voxaboxen linear,voxaboxen_beats_linear,3,0,0,0,60,,,0.34040412783333335
Voxaboxen linear,voxaboxen_beats_linear,4,0,0,8,52,,0.0,0.3223367500833334
Voxaboxen linear,voxaboxen_beats_linear,5,0,1,16,43,0.0,0.0,0.4082238680000001
Voxaboxen linear,voxaboxen_beats_linear,6,0,0,0,60,,,0.33996755683333324
Voxaboxen linear,voxaboxen_beats_linear,7,0,1,12,47,0.0,0.0,0.34172307216666664
Voxaboxen linear,voxaboxen_beats_linear,8,0,0,55,5,,0.0,0.2897983464999999
Voxaboxen linear,voxaboxen_beats_linear,9,8,0,37,15,1.0,0.17777777777777778,0.5047010777333333
Voxaboxen linear,voxaboxen_beats_linear,10,9,0,46,5,1.0,0.16363636363636364,0.4349263939999999
Voxaboxen linear,voxaboxen_beats_linear,11,40,0,19,1,1.0,0.6779661016949152,0.7440745860000001
Voxaboxen linear,voxaboxen_beats_linear,12,52,0,8,0,1.0,0.8666666666666667,0.86420917
Voxaboxen linear,voxaboxen_beats_linear,13,43,0,17,0,1.0,0.7166666666666667,0.7684832131666668
Voxaboxen linear,voxaboxen_beats_linear,14,12,0,48,0,1.0,0.2,0.5038076873333333
Voxaboxen linear,voxaboxen_beats_linear,15,3,0,57,0,1.0,0.05,0.4522347156666668
Voxaboxen linear,voxaboxen_beats_linear,16,7,0,52,1,1.0,0.11864406779661017,0.5152779373333334
Voxaboxen linear,voxaboxen_beats_linear,17,0,0,51,9,,0.0,0.4022887931666667
Voxaboxen linear,voxaboxen_beats_linear,18,2,0,47,11,1.0,0.04081632653061224,0.33749997633333334
Voxaboxen linear,voxaboxen_beats_linear,19,7,0,30,23,1.0,0.1891891891891892,0.3911638482333333
Voxaboxen linear,voxaboxen_beats_linear,20,7,0,12,41,1.0,0.3684210526315789,0.37064059934999993
Voxaboxen linear,voxaboxen_beats_linear,21,2,0,49,9,1.0,0.0392156862745098,0.4348236028333333
Voxaboxen linear,voxaboxen_beats_linear,22,10,0,40,10,1.0,0.2,0.5683521610000001
Voxaboxen linear,voxaboxen_beats_linear,23,0,0,44,16,,0.0,0.4239377581666666
Voxaboxen linear,voxaboxen_beats_linear,24,0,0,40,20,,0.0,0.37166955116666667
Voxaboxen linear,voxaboxen_beats_linear,25,5,5,36,14,0.5,0.12195121951219512,0.45268948133333337
Voxaboxen linear,voxaboxen_beats_linear,26,0,0,40,20,,0.0,0.396596573
Voxaboxen linear,voxaboxen_beats_linear,27,2,0,48,10,1.0,0.04,0.39013575141666673
Voxaboxen linear,voxaboxen_beats_linear,28,0,1,35,24,0.0,0.0,0.33631204533333325
Voxaboxen linear,voxaboxen_beats_linear,29,1,2,14,43,0.3333333333333333,0.06666666666666667,0.4298301056666667
Voxaboxen linear,voxaboxen_beats_linear,30,5,0,16,39,1.0,0.23809523809523808,0.38173818626666667
