model,model_key,segment_index,tp,fp,fn,tn,precision,recall,mean_score
Perch MLP2,perch_v2_mlp2,1,0,0,0,60,,,0.3720983993333334
Perch MLP2,perch_v2_mlp2,2,0,0,10,50,,0.0,0.35209930145
Perch MLP2,perch_v2_mlp2,3,0,0,0,60,,,0.3531213095166666
Perch MLP2,perch_v2_mlp2,4,0,0,8,52,,0.0,0.30336226120000004
Perch MLP2,perch_v2_mlp2,5,0,0,16,43,,0.0,0.34513753323728813
Perch MLP2,perch_v2_mlp2,6,0,0,0,59,,,0.2910083000677966
Perch MLP2,perch_v2_mlp2,7,0,0,11,48,,0.0,0.2766981726271187
Perch MLP2,perch_v2_mlp2,8,3,0,51,5,1.0,0.05555555555555555,0.6474157823728813
Perch MLP2,perch_v2_mlp2,9,8,2,36,13,0.8,0.18181818181818182,0.6962253423728813
Perch MLP2,perch_v2_mlp2,10,13,0,42,5,1.0,0.23636363636363636,0.7447669950833332
Perch MLP2,perch_v2_mlp2,11,21,0,37,1,1.0,0.3620689655172414,0.8047226677288136
Perch MLP2,perch_v2_mlp2,12,32,0,27,0,1.0,0.5423728813559322,0.85794919779661
Perch MLP2,perch_v2_mlp2,13,38,0,21,0,1.0,0.6440677966101694,0.8907622540677967
Perch MLP2,perch_v2_mlp2,14,25,0,34,0,1.0,0.423728813559322,0.8083156372881357
Perch MLP2,perch_v2_mlp2,15,26,0,33,0,1.0,0.4406779661016949,0.8834449213559322
Perch MLP2,perch_v2_mlp2,16,28,1,30,0,0.9655172413793104,0.4827586206896552,0.8450111447457627
Perch MLP2,perch_v2_mlp2,17,30,2,21,7,0.9375,0.5882352941176471,0.8486325558333333
Perch MLP2,perch_v2_mlp2,18,19,3,30,8,0.8636363636363636,0.3877551020408163,0.7612598401666666
Perch MLP2,perch_v2_mlp2,19,10,3,27,20,0.7692307692307693,0.2702702702702703,0.6610188065
Perch MLP2,perch_v2_mlp2,20,2,5,17,36,0.2857142857142857,0.10526315789473684,0.5711361358333334
Perch MLP2,perch_v2_mlp2,21,8,0,43,9,1.0,0.1568627450980392,0.5423866852499999
Perch MLP2,perch_v2_mlp2,22,8,0,41,10,1.0,0.16326530612244897,0.6174176203389832
Perch MLP2,perch_v2_mlp2,23,8,0,35,16,1.0,0.18604651162790697,0.6102292307457627
Perch MLP2,perch_v2_mlp2,24,7,0,32,20,1.0,0.1794871794871795,0.4977053628813559
Perch MLP2,perch_v2_mlp2,25,8,1,33,17,0.8888888888888888,0.1951219512195122,0.5143209701186441
Perch MLP2,perch_v2_mlp2,26,1,0,39,20,1.0,0.025,0.4874805510833333
Perch MLP2,perch_v2_mlp2,27,4,0,46,10,1.0,0.08,0.532232588
