"source","model_key","model","head","scenario","fold","best_epoch","epochs_completed","window_ap","window_f1","window_precision","window_recall","event_f1","event_precision","event_recall","event_ap_0_5","event_far_per_hour","selected_threshold"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_linear\annotations_all\fold_01\metrics.json","animal2vec_pretrained_meerkat_linear","animal2vec","linear head","annotations_all","fold_01","1","9","0.5835432081852535","0.130347324661392","0.4797630799605133","0.07541899441340782","0.007331378299120234","0.09803921568627451","0.003808073115003808","0.0038333396427577496","12.881144990665836","0.7000000000000001"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_linear\annotations_all\fold_02\metrics.json","animal2vec_pretrained_meerkat_linear","animal2vec","linear head","annotations_all","fold_02","12","20","0.6485365363361253","0.5986282578875172","0.681023720349563","0.5340186000978953","0.0037313432835820895","0.011363636363636364","0.002232142857142857","0.003413253413253413","60.358450568510314","0.65"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_linear\annotations_all\fold_03\metrics.json","animal2vec_pretrained_meerkat_linear","animal2vec","linear head","annotations_all","fold_03","10","18","0.46812320646128125","0.4043812907045589","0.37797454344216935","0.4347549331635901","0.003605769230769231","0.011406844106463879","0.0021413276231263384","0.0005487599957646041","73.08503162333099","0.39"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_linear\annotations_all\fold_04\metrics.json","animal2vec_pretrained_meerkat_linear","animal2vec","linear head","annotations_all","fold_04","7","15","0.6861839368047227","0.06889593542807725","0.8754578754578755","0.035858964741185294","0.009060022650056624","0.1111111111111111","0.004722550177095631","0.0044549125429697795","21.386800334168754","0.81"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_linear\annotations_all\fold_05\metrics.json","animal2vec_pretrained_meerkat_linear","animal2vec","linear head","annotations_all","fold_05","6","14","0.6445885249853003","0.6663129973474801","0.590919783580334","0.7637579811492855","0.015113350125944584","0.05825242718446602","0.008683068017366137","0.003769317336679764","44.48974391642247","0.14"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_mlp2\annotations_all\fold_01\metrics.json","animal2vec_pretrained_meerkat_mlp2","animal2vec","MLP2 head","annotations_all","fold_01","1","9","0.6370954507282315","0.10877144052433413","0.5364511691884457","0.06052141527001862","0.00447427293064877","0.10714285714285714","0.002284843869002285","0.004358154844012977","7.000622277535781","0.8300000000000001"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_mlp2\annotations_all\fold_02\metrics.json","animal2vec_pretrained_meerkat_mlp2","animal2vec","MLP2 head","annotations_all","fold_02","15","23","0.6713084990355457","0.5683220687628564","0.7110294117647059","0.4733235438081253","0.007476635514018692","0.022988505747126436","0.004464285714285714","0.002378426527033338","58.97089998072847","0.49"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_mlp2\annotations_all\fold_03\metrics.json","animal2vec_pretrained_meerkat_mlp2","animal2vec","MLP2 head","annotations_all","fold_03","15","23","0.42461379446363823","0.3029853906415414","0.3023452355799704","0.30362826225334183","0.003775959723096288","0.015957446808510637","0.0021413276231263384","0.00023785738071452356","52.002810962754744","0.4"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_mlp2\annotations_all\fold_04\metrics.json","animal2vec_pretrained_meerkat_mlp2","animal2vec","MLP2 head","annotations_all","fold_04","13","21","0.8104446229949313","0.6136636775446058","0.799373795761079","0.49797449362340584","0.01170835550824907","0.05945945945945946","0.006493506493506494","0.00078721722557339","58.1453634085213","0.48"
"runs\embedding_heads_cv\animal2vec_pretrained_meerkat_mlp2\annotations_all\fold_05\metrics.json","animal2vec_pretrained_meerkat_mlp2","animal2vec","MLP2 head","annotations_all","fold_05","3","11","0.6072922060708589","0.6729287090558767","0.5571286141575275","0.8494983277591973","0.0025974025974025974","0.012658227848101266","0.001447178002894356","0.003095430473626833","35.775257994648996","0.04"
"runs\embedding_heads_cv\perch_v2_linear\annotations_all\fold_01\metrics.json","perch_v2_linear","Perch","linear head","annotations_all","fold_01","1","9","0.7704077839071706","0.2778072033898305","0.9458972046889089","0.1628123544932485","0.058898847631242","0.18473895582329317","0.035034272658035034","0.011719548296912975","56.89373297002725","0.92"
"runs\embedding_heads_cv\perch_v2_linear\annotations_all\fold_02\metrics.json","perch_v2_linear","Perch","linear head","annotations_all","fold_02","14","22","0.8207840933701248","0.47422680412371143","0.9540740740740741","0.315531602155806","0.053763440860215055","0.13636363636363635","0.033482142857142856","0.010964645110986583","66.04866743916571","0.93"
"runs\embedding_heads_cv\perch_v2_linear\annotations_all\fold_03\metrics.json","perch_v2_linear","Perch","linear head","annotations_all","fold_03","2","10","0.6295265461257764","0.16228659121427202","0.844311377245509","0.08977079796264856","0.011734028683181226","0.06766917293233082","0.006423982869379015","0.001042051733295973","34.883175744315075","0.98"
"runs\embedding_heads_cv\perch_v2_linear\annotations_all\fold_04\metrics.json","perch_v2_linear","Perch","linear head","annotations_all","fold_04","12","20","0.9043863238088","0.2358689910195457","0.9834801762114538","0.13400360144057624","0.026382546930492138","0.09386281588447654","0.015348288075560802","0.0022007226440532274","83.9620888310723","0.96"
"runs\embedding_heads_cv\perch_v2_linear\annotations_all\fold_05\metrics.json","perch_v2_linear","Perch","linear head","annotations_all","fold_05","2","10","0.8581994644555568","0.5352543112857455","0.9481825212683681","0.3728710462287105","0.055155875299760196","0.16083916083916083","0.03328509406657019","0.006132347385976027","55.11610104618525","0.9"
"runs\embedding_heads_cv\perch_v2_mlp2\annotations_all\fold_01\metrics.json","perch_v2_mlp2","Perch","MLP2 head","annotations_all","fold_01","2","10","0.7505295713716449","0.20219109693523782","0.94921875","0.11314604997671893","0.06714944042132981","0.24757281553398058","0.03884234577303884","0.010241913917631284","43.441027637212926","0.99"
"runs\embedding_heads_cv\perch_v2_mlp2\annotations_all\fold_02\metrics.json","perch_v2_mlp2","Perch","MLP2 head","annotations_all","fold_02","2","10","0.8496147342688206","0.47403560830860536","0.9755725190839695","0.31308182263596274","0.06405693950177938","0.15789473684210525","0.04017857142857143","0.008991008991008992","66.74391657010429","0.9500000000000001"
